n  ,algo   ,time                  ,comparisons
47 ,hybrid ,0.055789947509765625  ,        209
48 ,insert ,0.2551078796386719    ,       1128
48 ,merge  ,0.06604194641113281   ,        203
48 ,hybrid ,0.05817413330078125   ,        209
49 ,insert ,0.3120899200439453    ,       1176
49 ,merge  ,0.06699562072753906   ,        212
49 ,hybrid ,0.05793571472167969   ,        219
 2 ,insert ,0.0011920928955078125 ,          1
 2 ,merge  ,0.00095367431640625   ,          1
 2 ,hybrid ,0.0011920928955078125 ,          1
 3 ,insert ,0.00095367431640625   ,          3
 3 ,merge  ,0.0030994415283203125 ,          3
 3 ,hybrid ,0.00095367431640625   ,          3
 4 ,insert ,0.0019073486328125    ,          6
 4 ,merge  ,0.00286102294921875   ,          4
 4 ,hybrid ,0.0021457672119140625 ,          6
 5 ,insert ,0.00286102294921875   ,         10
 5 ,merge  ,0.0040531158447265625 ,          5
 5 ,hybrid ,0.00286102294921875   ,          6
 6 ,insert ,0.004291534423828125  ,         15
 6 ,merge  ,0.00476837158203125   ,         11
 6 ,hybrid ,0.004291534423828125  ,         11
 7 ,insert ,0.0069141387939453125 ,         21
 7 ,merge  ,0.006198883056640625  ,         11
 7 ,hybrid ,0.0059604644775390625 ,         14
 8 ,insert ,0.009059906005859375  ,         28
 8 ,merge  ,0.008106231689453125  ,         17
 8 ,hybrid ,0.0059604644775390625 ,         19
 9 ,insert ,0.009298324584960938  ,         36
 9 ,merge  ,0.008821487426757812  ,         20
 9 ,hybrid ,0.0069141387939453125 ,         22
10 ,insert ,0.010013580322265625  ,         45
10 ,merge  ,0.010251998901367188  ,         22
10 ,hybrid ,0.009059906005859375  ,         23
11 ,insert ,0.016927719116210938  ,         55
11 ,merge  ,0.010967254638671875  ,         28
11 ,hybrid ,0.010013580322265625  ,         28
12 ,insert ,0.017881393432617188  ,         66
12 ,merge  ,0.011920928955078125  ,         32
12 ,hybrid ,0.011205673217773438  ,         33
13 ,insert ,0.0209808349609375    ,         78
13 ,merge  ,0.014066696166992188  ,         34
13 ,hybrid ,0.011205673217773438  ,         38
14 ,insert ,0.024080276489257812  ,         91
14 ,merge  ,0.014781951904296875  ,         38
14 ,hybrid ,0.013113021850585938  ,         41
15 ,insert ,0.027894973754882812  ,        105
15 ,merge  ,0.015020370483398438  ,         43
15 ,hybrid ,0.013113021850585938  ,         46
16 ,insert ,0.027894973754882812  ,        120
16 ,merge  ,0.0171661376953125    ,         47
16 ,hybrid ,0.014066696166992188  ,         52
17 ,insert ,0.04076957702636719   ,        136
17 ,merge  ,0.019073486328125     ,         51
17 ,hybrid ,0.0171661376953125    ,         54
18 ,insert ,0.03695487976074219   ,        153
18 ,merge  ,0.02002716064453125   ,         54
18 ,hybrid ,0.016927719116210938  ,         58
