n,insertTime,mergeTime
2,0.0019073486328125,0.00286102294921875
3,0.0030994415283203125,0.0040531158447265625
4,0.0040531158447265625,0.003814697265625
5,0.0059604644775390625,0.006198883056640625
6,0.003814697265625,0.006198883056640625
7,0.009059906005859375,0.009298324584960938
8,0.009298324584960938,0.0069141387939453125
9,0.011205673217773438,0.009059906005859375
10,0.013828277587890625,0.010013580322265625
11,0.014066696166992188,0.010251998901367188
12,0.015020370483398438,0.010967254638671875
13,0.02002716064453125,0.013113021850585938
14,0.023126602172851562,0.015974044799804688
15,0.025987625122070312,0.015974044799804688
16,0.030994415283203125,0.018835067749023438
17,0.030040740966796875,0.018835067749023438
18,0.03790855407714844,0.018835067749023438
19,0.041961669921875,0.02002716064453125
20,0.04100799560546875,0.0209808349609375
21,0.04696846008300781,0.02288818359375
22,0.051975250244140625,0.024080276489257812
23,0.05793571472167969,0.025033950805664062
24,0.07295608520507812,0.025272369384765625
25,0.07176399230957031,0.026941299438476562
26,0.06818771362304688,0.027894973754882812
27,0.08392333984375,0.030040740966796875
28,0.07700920104980469,0.030994415283203125
29,0.09799003601074219,0.03314018249511719
30,0.10013580322265625,0.03409385681152344
31,0.10585784912109375,0.03504753112792969
32,0.10776519775390625,0.0362396240234375
33,0.11396408081054688,0.03790855407714844
34,0.13208389282226562,0.03886222839355469
35,0.1308917999267578,0.041961669921875
36,0.14400482177734375,0.041961669921875
37,0.15211105346679688,0.04410743713378906
38,0.164031982421875,0.04887580871582031
39,0.1590251922607422,0.04506111145019531
40,0.1900196075439453,0.049114227294921875
41,0.18215179443359375,0.048160552978515625
42,0.1838207244873047,0.048160552978515625
43,0.20313262939453125,0.049114227294921875
44,0.23508071899414062,0.050067901611328125
45,0.21576881408691406,0.049114227294921875
46,0.2288818359375,0.05412101745605469
47,0.25081634521484375,0.06222724914550781
48,0.247955322265625,0.05507469177246094
49,0.270843505859375,0.05698204040527344
50,0.2980232238769531,0.05888938903808594
51,0.30493736267089844,0.05984306335449219
52,0.30159950256347656,0.06008148193359375
53,0.3192424774169922,0.05793571472167969
54,0.3139972686767578,0.06103515625
55,0.3371238708496094,0.06318092346191406
56,0.3218650817871094,0.06318092346191406
57,0.3657341003417969,0.0629425048828125
58,0.37932395935058594,0.06604194641113281
59,0.3802776336669922,0.06604194641113281
60,0.3790855407714844,0.06699562072753906
61,0.4019737243652344,0.06818771362304688
62,0.4241466522216797,0.07200241088867188
63,0.4239082336425781,0.07200241088867188
64,0.47397613525390625,0.07295608520507812
65,0.4649162292480469,0.07486343383789062
66,0.45418739318847656,0.07700920104980469
67,0.5130767822265625,0.07700920104980469
68,0.4951953887939453,0.08296966552734375
69,0.5438327789306641,0.08392333984375
70,0.5061626434326172,0.08082389831542969
71,0.5428791046142578,0.0820159912109375
72,0.5788803100585938,0.08416175842285156
73,0.5540847778320312,0.08392333984375
74,0.5519390106201172,0.08606910705566406
75,0.6220340728759766,0.08702278137207031
76,0.6070137023925781,0.08821487426757812
77,0.6220340728759766,0.09083747863769531
78,0.7119178771972656,0.09298324584960938
79,0.6852149963378906,0.09393692016601562
80,0.698089599609375,0.09512901306152344
81,0.7207393646240234,0.09608268737792969
82,0.7898807525634766,0.1201629638671875
83,0.7708072662353516,0.09918212890625
84,0.7679462432861328,0.102996826171875
85,0.7786750793457031,0.10228157043457031
86,0.7977485656738281,0.10228157043457031
87,0.8080005645751953,0.110626220703125
88,0.8280277252197266,0.10395050048828125
89,0.8299350738525391,0.10704994201660156
90,0.8027553558349609,0.10824203491210938
91,0.8511543273925781,0.10895729064941406
92,0.9090900421142578,0.10991096496582031
93,0.8919239044189453,0.11205673217773438
94,0.9188652038574219,0.11587142944335938
95,0.9772777557373047,0.12278556823730469
96,0.9598731994628906,0.11706352233886719
97,1.0111331939697266,0.12087821960449219
98,1.09100341796875,0.12111663818359375
99,0.9970664978027344,0.11992454528808594
