Size of Array, Insertion Sort Time (ms), Merge Sort Time (ms), Hybrid Sort Time (ms)
808, 81.45, 4.14, 100.00
809, 82.58, 4.48, 100.00
810, 79.25, 4.16, 100.00
811, 80.18, 4.02, 100.00
812, 81.44, 4.11, 100.00
813, 81.32, 4.10, 100.00
814, 80.99, 4.05, 100.00
815, 79.83, 4.04, 100.00
816, 81.15, 4.15, 100.00
817, 82.71, 4.12, 100.00
818, 86.07, 4.12, 100.00
819, 80.98, 4.08, 100.00
820, 82.11, 4.20, 100.00
821, 82.23, 4.20, 100.00
822, 83.98, 4.29, 100.00
823, 81.49, 4.24, 100.00
824, 86.33, 4.38, 100.00
825, 82.70, 4.29, 100.00
826, 82.12, 4.56, 100.00
827, 82.28, 4.24, 100.00
828, 94.86, 4.88, 100.00
829, 93.95, 4.32, 100.00
830, 84.93, 4.33, 100.00
831, 84.39, 4.33, 100.00
832, 84.38, 4.18, 100.00
833, 83.55, 4.50, 100.00
834, 84.56, 4.22, 100.00
835, 84.40, 4.25, 100.00
836, 86.21, 4.21, 100.00
837, 85.22, 4.30, 100.00
838, 87.12, 4.34, 100.00
839, 85.85, 4.40, 100.00
840, 96.93, 4.31, 100.00
841, 85.80, 4.69, 100.00
842, 90.13, 4.52, 100.00
843, 89.10, 4.35, 100.00
844, 88.31, 4.43, 100.00
845, 87.64, 4.37, 100.00
846, 87.84, 4.33, 100.00
847, 89.41, 4.47, 100.00
848, 96.50, 4.43, 100.00
849, 87.42, 4.56, 100.00
850, 95.06, 4.48, 100.00
851, 87.95, 4.39, 100.00
852, 89.92, 4.43, 100.00
853, 87.94, 4.56, 100.00
854, 91.80, 4.47, 100.00
855, 91.62, 4.35, 100.00
856, 89.96, 4.45, 100.00
857, 89.82, 4.46, 100.00
858, 92.80, 4.50, 100.00
859, 93.26, 4.40, 100.00
860, 91.37, 4.60, 100.00
861, 106.11, 4.41, 100.00
862, 93.23, 4.52, 100.00
863, 101.77, 6.80, 100.00
864, 91.50, 5.14, 100.00
865, 93.64, 4.62, 100.00
866, 106.54, 4.61, 100.00
867, 109.95, 6.41, 100.00
868, 113.22, 4.47, 100.00
869, 93.45, 4.59, 100.00
870, 97.79, 4.76, 100.00
871, 92.66, 4.91, 100.00
872, 95.53, 4.98, 100.00
873, 93.54, 4.97, 100.00
874, 94.33, 4.61, 100.00
875, 93.26, 4.61, 100.00
876, 95.68, 4.52, 100.00
877, 94.97, 4.74, 100.00
878, 95.76, 5.02, 100.00
879, 99.02, 4.64, 100.00
880, 108.63, 5.10, 100.00
881, 97.86, 4.75, 100.00
882, 96.77, 4.54, 100.00
883, 93.72, 4.63, 100.00
884, 95.89, 4.63, 100.00
885, 94.36, 4.72, 100.00
886, 93.17, 4.59, 100.00
887, 97.59, 4.85, 100.00
888, 95.77, 4.68, 100.00
889, 97.18, 4.65, 100.00
890, 96.04, 4.66, 100.00
891, 94.64, 4.62, 100.00
892, 96.42, 4.61, 100.00
893, 96.00, 4.78, 100.00
894, 98.51, 4.91, 100.00
895, 95.92, 4.71, 100.00
896, 98.01, 4.73, 100.00
897, 99.55, 4.83, 100.00
898, 98.35, 4.94, 100.00
899, 100.74, 4.91, 100.00
900, 98.91, 5.17, 100.00
901, 100.91, 4.85, 100.00
902, 100.12, 4.79, 100.00
903, 98.32, 5.09, 100.00
904, 101.09, 4.88, 100.00
905, 99.92, 4.81, 100.00
906, 104.00, 7.58, 100.00
907, 103.94, 5.92, 100.00
908, 105.30, 4.80, 100.00
909, 100.69, 4.85, 100.00
910, 101.32, 4.82, 100.00
911, 111.62, 5.04, 100.00
912, 99.54, 4.88, 100.00
913, 99.37, 4.81, 100.00
914, 105.00, 4.87, 100.00
915, 102.20, 5.09, 100.00
916, 101.89, 4.90, 100.00
917, 102.98, 4.99, 100.00
918, 102.64, 5.16, 100.00
919, 103.16, 5.02, 100.00
920, 105.66, 5.04, 100.00
921, 107.39, 4.96, 100.00
922, 104.49, 4.91, 100.00
923, 105.68, 5.33, 100.00
924, 109.45, 4.90, 100.00
925, 105.35, 5.45, 100.00
926, 106.70, 5.11, 100.00
927, 107.26, 5.04, 100.00
928, 118.42, 5.86, 100.00
929, 107.42, 5.05, 100.00
930, 105.51, 5.26, 100.00
931, 106.90, 5.16, 100.00
932, 109.65, 4.95, 100.00
933, 107.49, 5.03, 100.00
934, 109.55, 5.14, 100.00
935, 108.42, 5.27, 100.00
936, 113.31, 4.87, 100.00
937, 106.89, 5.22, 100.00
938, 107.33, 5.09, 100.00
939, 108.02, 5.06, 100.00
940, 109.27, 6.22, 100.00
941, 114.28, 5.14, 100.00
942, 105.98, 5.17, 100.00
943, 107.63, 5.51, 100.00
944, 109.72, 5.34, 100.00
945, 109.30, 5.14, 100.00
946, 106.20, 5.23, 100.00
947, 108.74, 5.14, 100.00
948, 111.14, 5.25, 100.00
949, 115.95, 5.81, 100.00
950, 112.47, 5.00, 100.00
951, 109.53, 5.13, 100.00
952, 116.52, 5.79, 100.00
953, 111.60, 5.33, 100.00
954, 112.66, 5.22, 100.00
955, 122.10, 6.50, 100.00
956, 111.34, 5.52, 100.00
957, 110.83, 5.24, 100.00
958, 112.46, 5.43, 100.00
959, 114.34, 5.13, 100.00
960, 113.63, 5.14, 100.00
961, 110.64, 5.25, 100.00
962, 112.10, 5.41, 100.00
963, 114.76, 5.34, 100.00
964, 113.64, 5.28, 100.00
965, 112.14, 5.18, 100.00
966, 112.49, 5.24, 100.00
967, 111.13, 5.23, 100.00
968, 114.73, 5.38, 100.00
969, 121.32, 5.28, 100.00
970, 113.91, 5.62, 100.00
971, 116.87, 5.35, 100.00
972, 117.55, 5.36, 100.00
973, 115.29, 5.42, 100.00
974, 114.96, 5.51, 100.00
975, 124.98, 8.23, 100.00
976, 122.25, 5.88, 100.00
977, 124.97, 5.56, 100.00
978, 117.60, 5.40, 100.00
979, 117.96, 5.65, 100.00
980, 118.17, 5.78, 100.00
981, 118.07, 5.42, 100.00
982, 118.72, 5.51, 100.00
983, 118.69, 5.57, 100.00
984, 121.89, 6.94, 100.00
985, 137.56, 5.56, 100.00
986, 118.91, 5.72, 100.00
987, 121.93, 5.32, 100.00
988, 120.45, 5.52, 100.00
989, 118.96, 5.87, 100.00
990, 121.22, 5.56, 100.00
991, 122.82, 5.82, 100.00
992, 128.99, 5.63, 100.00
993, 119.03, 5.42, 100.00
994, 121.40, 5.89, 100.00
995, 121.71, 6.01, 100.00
996, 121.29, 5.49, 100.00
997, 125.13, 5.48, 100.00
998, 121.07, 6.07, 100.00
999, 118.89, 5.71, 100.00
1000, 122.03, 5.51, 100.00
