Size of Array, Insertion Sort Time (ms), Merge Sort Time (ms), Hybrid Sort Time (ms)
186, 4.40, 0.53, 100.00
187, 4.31, 0.53, 100.00
188, 4.54, 0.54, 100.00
189, 4.32, 0.68, 100.00
190, 4.31, 0.76, 100.00
191, 4.48, 0.56, 100.00
192, 4.52, 0.56, 100.00
193, 4.80, 0.56, 100.00
194, 4.26, 0.70, 100.00
195, 4.63, 0.55, 100.00
196, 4.69, 0.59, 100.00
197, 4.66, 0.56, 100.00
198, 4.81, 0.57, 100.00
199, 4.91, 0.58, 100.00
200, 5.20, 0.66, 100.00
201, 4.91, 0.61, 100.00
202, 5.19, 0.62, 100.00
203, 5.26, 0.59, 100.00
204, 5.07, 0.63, 100.00
205, 5.49, 0.59, 100.00
206, 5.06, 0.60, 100.00
207, 5.54, 0.65, 100.00
208, 5.10, 0.60, 100.00
209, 5.28, 0.67, 100.00
210, 5.55, 0.65, 100.00
211, 5.60, 0.62, 100.00
212, 5.35, 0.62, 100.00
213, 5.63, 0.64, 100.00
214, 5.59, 0.64, 100.00
215, 5.90, 0.82, 100.00
216, 5.68, 0.67, 100.00
217, 6.00, 0.68, 100.00
218, 5.76, 0.70, 100.00
219, 6.15, 0.80, 100.00
220, 5.93, 0.78, 100.00
221, 6.35, 0.67, 100.00
222, 5.75, 0.65, 100.00
223, 5.75, 0.66, 100.00
224, 6.00, 0.69, 100.00
225, 6.02, 0.68, 100.00
226, 5.90, 0.66, 100.00
227, 6.17, 0.70, 100.00
228, 6.09, 0.70, 100.00
229, 6.48, 0.70, 100.00
230, 6.39, 0.67, 100.00
231, 6.66, 0.71, 100.00
232, 6.55, 0.68, 100.00
233, 6.62, 0.75, 100.00
234, 6.62, 0.71, 100.00
235, 6.73, 0.68, 100.00
236, 6.81, 0.69, 100.00
237, 6.74, 0.85, 100.00
238, 6.61, 0.74, 100.00
239, 6.71, 0.70, 100.00
240, 6.80, 0.70, 100.00
241, 7.03, 0.74, 100.00
242, 7.08, 0.76, 100.00
243, 7.19, 0.80, 100.00
244, 6.91, 0.74, 100.00
245, 7.20, 0.73, 100.00
246, 6.97, 0.80, 100.00
247, 7.48, 0.73, 100.00
248, 7.26, 1.09, 100.00
249, 7.56, 0.76, 100.00
250, 8.03, 0.92, 100.00
251, 7.67, 0.75, 100.00
252, 8.01, 0.79, 100.00
253, 8.01, 0.86, 100.00
254, 8.08, 1.09, 100.00
255, 8.23, 0.77, 100.00
256, 8.24, 0.85, 100.00
257, 8.30, 1.02, 100.00
258, 7.95, 0.85, 100.00
259, 8.00, 0.79, 100.00
260, 9.24, 1.19, 100.00
261, 10.19, 0.82, 100.00
262, 8.63, 0.91, 100.00
263, 8.59, 1.22, 100.00
264, 11.60, 1.23, 100.00
265, 11.95, 1.24, 100.00
266, 11.83, 1.22, 100.00
267, 11.84, 1.23, 100.00
268, 11.85, 1.24, 100.00
269, 12.31, 1.26, 100.00
270, 12.41, 1.25, 100.00
271, 12.38, 1.28, 100.00
272, 12.58, 1.28, 100.00
273, 9.54, 0.88, 100.00
274, 8.12, 0.88, 100.00
275, 9.04, 0.85, 100.00
276, 9.04, 0.89, 100.00
277, 9.62, 0.90, 100.00
278, 9.31, 1.26, 100.00
279, 8.90, 0.94, 100.00
280, 9.78, 0.88, 100.00
281, 9.34, 1.11, 100.00
282, 9.25, 1.06, 100.00
283, 10.01, 0.93, 100.00
284, 9.62, 0.97, 100.00
285, 9.87, 0.91, 100.00
286, 10.98, 1.35, 100.00
287, 13.99, 1.37, 100.00
288, 14.26, 1.39, 100.00
289, 11.29, 0.98, 100.00
290, 10.29, 0.90, 100.00
291, 9.67, 0.98, 100.00
292, 9.90, 0.95, 100.00
293, 10.40, 0.95, 100.00
294, 10.15, 1.09, 100.00
295, 9.99, 1.01, 100.00
296, 10.33, 0.97, 100.00
297, 10.19, 0.97, 100.00
298, 10.35, 1.09, 100.00
299, 10.51, 1.00, 100.00
300, 10.61, 1.44, 100.00
301, 10.91, 1.00, 100.00
302, 10.14, 1.07, 100.00
303, 10.61, 0.99, 100.00
304, 10.83, 1.29, 100.00
305, 11.36, 0.99, 100.00
306, 11.15, 1.00, 100.00
307, 11.52, 1.03, 100.00
308, 11.46, 1.08, 100.00
309, 11.67, 1.03, 100.00
310, 11.16, 1.03, 100.00
311, 11.44, 1.07, 100.00
312, 11.77, 1.05, 100.00
313, 11.73, 1.05, 100.00
314, 12.32, 1.05, 100.00
315, 11.88, 1.05, 100.00
316, 12.05, 1.06, 100.00
317, 12.07, 1.05, 100.00
318, 12.22, 1.07, 100.00
319, 12.11, 1.09, 100.00
320, 12.06, 1.12, 100.00
321, 14.48, 1.33, 100.00
322, 15.66, 1.17, 100.00
323, 13.89, 1.09, 100.00
324, 12.69, 1.08, 100.00
325, 12.27, 1.11, 100.00
326, 12.53, 1.09, 100.00
327, 12.93, 1.12, 100.00
328, 13.92, 1.66, 100.00
329, 18.41, 1.15, 100.00
330, 12.55, 1.13, 100.00
331, 13.42, 1.15, 100.00
332, 13.11, 1.15, 100.00
333, 13.61, 1.17, 100.00
334, 13.04, 1.18, 100.00
335, 12.90, 1.19, 100.00
336, 14.74, 1.17, 100.00
337, 13.38, 1.20, 100.00
338, 13.20, 1.25, 100.00
339, 13.65, 1.17, 100.00
340, 13.36, 1.17, 100.00
341, 14.13, 1.18, 100.00
342, 13.99, 1.20, 100.00
343, 14.61, 1.62, 100.00
344, 14.82, 1.20, 100.00
345, 14.24, 1.24, 100.00
346, 14.62, 1.32, 100.00
347, 14.94, 1.20, 100.00
348, 14.78, 1.20, 100.00
349, 14.35, 1.21, 100.00
350, 14.41, 1.31, 100.00
351, 15.76, 1.23, 100.00
352, 14.63, 1.23, 100.00
353, 18.73, 1.89, 100.00
354, 18.14, 1.25, 100.00
355, 17.04, 1.85, 100.00
356, 15.64, 1.27, 100.00
357, 15.68, 1.25, 100.00
358, 15.86, 1.27, 100.00
359, 17.00, 1.85, 100.00
360, 16.83, 1.27, 100.00
361, 16.03, 1.30, 100.00
362, 15.35, 1.29, 100.00
363, 15.88, 1.29, 100.00
364, 16.04, 1.28, 100.00
365, 16.78, 1.37, 100.00
366, 15.49, 1.30, 100.00
367, 16.26, 1.28, 100.00
368, 18.27, 1.32, 100.00
369, 17.09, 2.01, 100.00
370, 19.55, 1.28, 100.00
