sizeOfArray,algo,time,comparisions
8929,hybrid,23.110151290893555,108004
8967,merge,25.125980377197266,106566
8967,hybrid,23.572921752929688,108538
9147,merge,25.990962982177734,108991
9147,hybrid,24.4600772857666,110744
9240,merge,26.066303253173828,110254
9240,hybrid,24.68085289001465,111945
9252,merge,25.7720947265625,110367
9252,hybrid,24.420976638793945,112017
9353,merge,26.424169540405273,111758
9353,hybrid,24.590015411376953,113312
9536,merge,27.889013290405273,114235
9536,hybrid,26.0772705078125,115615
9558,merge,27.057170867919922,114538
9558,hybrid,25.454044342041016,115873
9696,merge,27.367830276489258,116436
9696,hybrid,25.927066802978516,117673
9820,merge,27.924060821533203,117990
9820,hybrid,26.431798934936523,119075
9944,merge,28.338193893432617,119681
9944,hybrid,26.789188385009766,120684
9956,merge,30.991077423095703,119790
9956,hybrid,27.50420570373535,120785
10084,merge,29.03294563293457,121510
10084,hybrid,27.544021606445312,122403
10199,merge,29.448986053466797,123015
10199,hybrid,27.470827102661133,123774
10334,merge,30.024051666259766,124984
10334,hybrid,28.99909019470215,125690
10407,merge,30.807018280029297,126005
10407,hybrid,29.227018356323242,126741
10473,merge,30.331134796142578,126957
10473,hybrid,28.461933135986328,127680
10649,merge,30.553817749023438,129235
10649,hybrid,28.86509895324707,130048
10679,merge,31.250953674316406,129761
10679,hybrid,29.489994049072266,130554
10774,merge,30.743122100830078,131001
10774,hybrid,29.19292449951172,131840
10885,merge,31.445980072021484,132472
10885,hybrid,29.509305953979492,133383
10990,merge,31.809091567993164,133913
10990,hybrid,30.417919158935547,134871
11121,merge,32.53817558288574,135665
11121,hybrid,30.75408935546875,136641
11171,merge,31.505823135375977,136405
11171,hybrid,30.2431583404541,137411
11342,merge,32.109975814819336,138795
11342,hybrid,30.63488006591797,139848
11395,merge,32.65500068664551,139366
11395,hybrid,30.529022216796875,140459
11546,merge,33.06913375854492,141461
11546,hybrid,31.16297721862793,142587
11592,merge,32.85932540893555,142208
11592,hybrid,31.552553176879883,143333
11670,merge,33.418893814086914,143129
11670,hybrid,31.67724609375,144325
11781,merge,34.62719917297363,144628
11781,hybrid,31.805038452148438,145869
11936,merge,34.16919708251953,146811
11936,hybrid,32.002925872802734,148073
11969,merge,34.551143646240234,147200
11969,hybrid,32.02414512634277,148464
12143,merge,34.41596031188965,149545
12143,hybrid,32.850027084350586,150875
12181,merge,34.96909141540527,150093
12181,hybrid,32.652854919433594,151436
12292,merge,35.195112228393555,151573
12292,hybrid,32.921791076660156,152979
12448,merge,35.80498695373535,153680
12448,hybrid,33.6151123046875,155213
12479,merge,35.53199768066406,154355
12479,hybrid,33.615827560424805,155862
12642,merge,36.18669509887695,156534
12642,hybrid,34.12008285522461,158263
12685,merge,36.25297546386719,157010
12685,hybrid,34.29412841796875,158826
12836,merge,37.349700927734375,159260
12836,hybrid,35.84480285644531,161170
12887,merge,37.71495819091797,159881
12887,hybrid,37.20426559448242,161844
13038,merge,38.62309455871582,161885
13038,hybrid,36.313772201538086,164040
13139,merge,39.18170928955078,163411
13139,hybrid,36.89384460449219,165628
13240,merge,38.83981704711914,164787
13240,hybrid,36.81206703186035,167111
13265,merge,39.41988945007324,165128
13265,hybrid,37.142038345336914,167496
13409,merge,39.090871810913086,167104
13409,hybrid,37.10579872131348,169625
13515,merge,39.18814659118652,168643
13515,hybrid,37.052154541015625,171219
13570,merge,39.08514976501465,169339
13570,hybrid,37.15991973876953,171970
13717,merge,40.20404815673828,171350
13717,hybrid,37.55998611450195,174106
13836,merge,39.63494300842285,173203
13836,hybrid,39.09182548522949,176113
13941,merge,40.006160736083984,174692
13941,hybrid,38.10286521911621,177648
14020,merge,40.58074951171875,175622
14020,hybrid,38.376808166503906,178715
14094,merge,40.64679145812988,176643
14094,hybrid,39.44110870361328,179865
14160,merge,40.76099395751953,177547
14160,hybrid,39.11018371582031,180779
14260,merge,41.47195816040039,178996
14260,hybrid,39.427757263183594,182305
14389,merge,43.32876205444336,180731
14389,hybrid,40.68922996520996,184222
14469,merge,42.88005828857422,181888
14469,hybrid,39.939165115356445,185441
14644,merge,42.39487648010254,184455
14644,hybrid,40.57908058166504,188109
14652,merge,42.62518882751465,184383
14652,hybrid,41.37301445007324,188145
14757,merge,43.88308525085449,186020
14757,hybrid,41.435956954956055,189887
14908,merge,44.15297508239746,187962
14908,hybrid,42.44422912597656,191926
15000,merge,43.94173622131348,189405
15000,hybrid,41.812896728515625,193495
15075,merge,43.573856353759766,190312
15075,hybrid,41.588783264160156,194464
15233,merge,44.27385330200195,192549
15233,hybrid,42.410850524902344,196892
15277,merge,45.392751693725586,193132
15277,hybrid,43.2429313659668,197480
15357,merge,46.44775390625,194324
15357,hybrid,43.975830078125,198749
15528,merge,46.29874229431152,196712
15528,hybrid,43.92695426940918,201324
15551,merge,46.588897705078125,197134
15551,hybrid,43.29180717468262,201746
15717,merge,46.58913612365723,199284
15717,hybrid,44.94619369506836,204091
15825,merge,45.79901695251465,200940
15825,hybrid,43.92719268798828,205810
15926,merge,46.205997467041016,202137
15926,hybrid,44.05379295349121,207212
16026,merge,46.47684097290039,203556
16026,hybrid,44.44599151611328,208692
16061,merge,46.83709144592285,204082
16061,hybrid,44.78287696838379,209201
16223,merge,48.0802059173584,206426
16223,hybrid,46.5700626373291,211694
16312,merge,48.77209663391113,207606
16312,hybrid,45.662879943847656,213036
16433,merge,47.86992073059082,209444
16433,hybrid,45.614004135131836,214857
16473,merge,47.97005653381348,209893
16473,hybrid,45.74394226074219,215259
16599,merge,48.54702949523926,211625
16599,hybrid,46.23103141784668,216896
16729,merge,48.963069915771484,213622
16729,hybrid,46.74386978149414,218735
16820,merge,49.191951751708984,214872
16820,hybrid,47.11723327636719,219940
16912,merge,49.520015716552734,216534
16912,hybrid,47.573089599609375,221435
17021,merge,49.80897903442383,217841
17021,hybrid,47.78003692626953,222644
17101,merge,50.26102066040039,218916
17101,hybrid,48.37822914123535,223723
17247,merge,50.64201354980469,221116
17247,hybrid,48.56085777282715,225742
17293,merge,50.69684982299805,221711
17293,hybrid,48.40397834777832,226286
17426,merge,51.07688903808594,223692
17426,hybrid,48.85292053222656,228109
17488,merge,51.31173133850098,224589
17488,hybrid,49.26323890686035,228941
17560,merge,51.60713195800781,225616
17560,hybrid,49.498796463012695,229946
17678,merge,51.940202713012695,227375
17678,hybrid,49.86691474914551,231492
17771,merge,52.31809616088867,228608
17771,hybrid,50.212860107421875,232649
17887,merge,53.04718017578125,230295
17887,hybrid,51.53799057006836,234258
18030,merge,55.71699142456055,232387
18030,hybrid,51.75304412841797,236248
18072,merge,53.36499214172363,232948
18072,hybrid,51.254987716674805,236704
18247,merge,53.79819869995117,235563
18247,hybrid,52.25396156311035,239138
18258,merge,53.88808250427246,235697
