dimension,edges,isDirectional,minWeight,maxWeight,queue,graphInput,time
10,0,False,0,1,heap,adjList,0.008821487426757812
10,0,False,0,1,heap,adjMatrix,0.008106231689453125
10,0,False,0,1,array,adjList,0.011920928955078125
10,0,False,0,1,array,adjMatrix,0.007867813110351562
11,0,False,0,1,heap,adjList,0.0021457672119140625
11,0,False,0,1,heap,adjMatrix,0.01811981201171875
11,0,False,0,1,array,adjList,0.0059604644775390625
11,0,False,0,1,array,adjMatrix,0.007152557373046875
12,0,False,0,1,heap,adjList,0.0050067901611328125
12,0,False,0,1,heap,adjMatrix,0.007867813110351562
12,0,False,0,1,array,adjList,0.0030994415283203125
12,0,False,0,1,array,adjMatrix,0.0030994415283203125
13,0,False,0,1,heap,adjList,0.0021457672119140625
13,0,False,0,1,heap,adjMatrix,0.003814697265625
13,0,False,0,1,array,adjList,0.0011920928955078125
13,0,False,0,1,array,adjMatrix,0.0040531158447265625
14,0,False,0,1,heap,adjList,0.0019073486328125
14,0,False,0,1,heap,adjMatrix,0.0030994415283203125
14,0,False,0,1,array,adjList,0.0021457672119140625
14,0,False,0,1,array,adjMatrix,0.0030994415283203125
15,0,False,0,1,heap,adjList,0.0021457672119140625
15,0,False,0,1,heap,adjMatrix,0.0021457672119140625
15,0,False,0,1,array,adjList,0.0040531158447265625
15,0,False,0,1,array,adjMatrix,0.0030994415283203125
16,0,False,0,1,heap,adjList,0.0011920928955078125
16,0,False,0,1,heap,adjMatrix,0.0021457672119140625
16,0,False,0,1,array,adjList,0.00095367431640625
16,0,False,0,1,array,adjMatrix,0.0021457672119140625
17,0,False,0,1,heap,adjList,0.00095367431640625
17,0,False,0,1,heap,adjMatrix,0.0021457672119140625
17,0,False,0,1,array,adjList,0.00095367431640625
17,0,False,0,1,array,adjMatrix,0.0019073486328125
18,0,False,0,1,heap,adjList,0.0011920928955078125
18,0,False,0,1,heap,adjMatrix,0.0030994415283203125
18,0,False,0,1,array,adjList,0.0011920928955078125
18,0,False,0,1,array,adjMatrix,0.0030994415283203125
19,0,False,0,1,heap,adjList,0.00095367431640625
19,0,False,0,1,heap,adjMatrix,0.0019073486328125
19,0,False,0,1,array,adjList,0.0
19,0,False,0,1,array,adjMatrix,0.0030994415283203125
20,0,False,0,1,heap,adjList,0.0011920928955078125
20,0,False,0,1,heap,adjMatrix,0.0019073486328125
20,0,False,0,1,array,adjList,0.0011920928955078125
20,0,False,0,1,array,adjMatrix,0.0021457672119140625
21,0,False,0,1,heap,adjList,0.0011920928955078125
21,0,False,0,1,heap,adjMatrix,0.0030994415283203125
21,0,False,0,1,array,adjList,0.0
21,0,False,0,1,array,adjMatrix,0.00286102294921875
22,0,False,0,1,heap,adjList,0.00095367431640625
22,0,False,0,1,heap,adjMatrix,0.00286102294921875
22,0,False,0,1,array,adjList,0.00095367431640625
22,0,False,0,1,array,adjMatrix,0.0030994415283203125
23,0,False,0,1,heap,adjList,0.00095367431640625
23,0,False,0,1,heap,adjMatrix,0.0030994415283203125
23,0,False,0,1,array,adjList,0.0011920928955078125
23,0,False,0,1,array,adjMatrix,0.0030994415283203125
24,0,False,0,1,heap,adjList,0.00286102294921875
24,0,False,0,1,heap,adjMatrix,0.0040531158447265625
24,0,False,0,1,array,adjList,0.00095367431640625
24,0,False,0,1,array,adjMatrix,0.0030994415283203125
25,0,False,0,1,heap,adjList,0.0011920928955078125
25,0,False,0,1,heap,adjMatrix,0.00286102294921875
25,0,False,0,1,array,adjList,0.0011920928955078125
25,0,False,0,1,array,adjMatrix,0.0026226043701171875
26,0,False,0,1,heap,adjList,0.00095367431640625
26,0,False,0,1,heap,adjMatrix,0.0030994415283203125
26,0,False,0,1,array,adjList,0.0
26,0,False,0,1,array,adjMatrix,0.0030994415283203125
