dimension,edges,isDirectional,minWeight,maxWeight,queue,graphInput,time
230,26335,False,1,50,heap,adjMatrix,32.37414360046387
230,26335,False,1,50,array,adjList,45.14503479003906
230,26335,False,1,50,array,adjMatrix,52.95395851135254
240,28680,False,1,50,heap,adjList,34.79123115539551
240,28680,False,1,50,heap,adjMatrix,43.530941009521484
240,28680,False,1,50,array,adjList,48.647165298461914
240,28680,False,1,50,array,adjMatrix,56.986331939697266
250,31125,False,1,50,heap,adjList,37.0481014251709
250,31125,False,1,50,heap,adjMatrix,47.205209732055664
250,31125,False,1,50,array,adjList,53.614139556884766
250,31125,False,1,50,array,adjMatrix,62.96873092651367
100,4950,False,1,50,heap,adjList,6.572961807250977
100,4950,False,1,50,heap,adjMatrix,8.385896682739258
100,4950,False,1,50,array,adjList,8.163928985595703
100,4950,False,1,50,array,adjMatrix,9.31096076965332
110,5995,False,1,50,heap,adjList,7.094144821166992
110,5995,False,1,50,heap,adjMatrix,9.293794631958008
110,5995,False,1,50,array,adjList,9.001016616821289
110,5995,False,1,50,array,adjMatrix,11.192083358764648
120,7140,False,1,50,heap,adjList,7.931709289550781
120,7140,False,1,50,heap,adjMatrix,10.005950927734375
120,7140,False,1,50,array,adjList,11.708974838256836
120,7140,False,1,50,array,adjMatrix,13.842105865478516
130,8385,False,1,50,heap,adjList,11.417150497436523
130,8385,False,1,50,heap,adjMatrix,13.769865036010742
130,8385,False,1,50,array,adjList,12.888193130493164
130,8385,False,1,50,array,adjMatrix,15.465021133422852
140,9730,False,1,50,heap,adjList,12.693643569946289
140,9730,False,1,50,heap,adjMatrix,16.470909118652344
140,9730,False,1,50,array,adjList,16.662120819091797
140,9730,False,1,50,array,adjMatrix,18.91922950744629
150,11175,False,1,50,heap,adjList,14.525890350341797
150,11175,False,1,50,heap,adjMatrix,17.89069175720215
150,11175,False,1,50,array,adjList,18.439054489135742
150,11175,False,1,50,array,adjMatrix,21.818161010742188
160,12720,False,1,50,heap,adjList,16.410112380981445
160,12720,False,1,50,heap,adjMatrix,20.20883560180664
160,12720,False,1,50,array,adjList,22.3848819732666
160,12720,False,1,50,array,adjMatrix,27.148962020874023
170,14365,False,1,50,heap,adjList,15.995264053344727
170,14365,False,1,50,heap,adjMatrix,20.305156707763672
170,14365,False,1,50,array,adjList,22.283077239990234
170,14365,False,1,50,array,adjMatrix,26.77297592163086
180,16110,False,1,50,heap,adjList,17.680883407592773
180,16110,False,1,50,heap,adjMatrix,22.480010986328125
180,16110,False,1,50,array,adjList,27.186155319213867
180,16110,False,1,50,array,adjMatrix,31.821012496948242
190,17955,False,1,50,heap,adjList,19.959211349487305
190,17955,False,1,50,heap,adjMatrix,25.252819061279297
190,17955,False,1,50,array,adjList,31.17513656616211
190,17955,False,1,50,array,adjMatrix,39.910078048706055
200,19900,False,1,50,heap,adjList,21.600008010864258
200,19900,False,1,50,heap,adjMatrix,27.290821075439453
200,19900,False,1,50,array,adjList,35.14719009399414
200,19900,False,1,50,array,adjMatrix,40.65990447998047
210,21945,False,1,50,heap,adjList,22.00007438659668
210,21945,False,1,50,heap,adjMatrix,31.805038452148438
210,21945,False,1,50,array,adjList,38.548946380615234
210,21945,False,1,50,array,adjMatrix,43.94388198852539
220,24090,False,1,50,heap,adjList,24.145841598510742
220,24090,False,1,50,heap,adjMatrix,30.49612045288086
220,24090,False,1,50,array,adjList,40.87090492248535
220,24090,False,1,50,array,adjMatrix,48.213958740234375
230,26335,False,1,50,heap,adjList,23.75006675720215
230,26335,False,1,50,heap,adjMatrix,31.767845153808594
230,26335,False,1,50,array,adjList,44.04616355895996
230,26335,False,1,50,array,adjMatrix,50.69398880004883
240,28680,False,1,50,heap,adjList,29.22797203063965
240,28680,False,1,50,heap,adjMatrix,37.45102882385254
240,28680,False,1,50,array,adjList,48.05874824523926
240,28680,False,1,50,array,adjMatrix,56.668758392333984
250,31125,False,1,50,heap,adjList,36.90314292907715
250,31125,False,1,50,heap,adjMatrix,46.591997146606445
250,31125,False,1,50,array,adjList,54.87179756164551
250,31125,False,1,50,array,adjMatrix,63.28225135803223
100,4950,False,1,50,heap,adjList,6.626129150390625
100,4950,False,1,50,heap,adjMatrix,8.089303970336914
100,4950,False,1,50,array,adjList,7.663249969482422
100,4950,False,1,50,array,adjMatrix,9.163141250610352
110,5995,False,1,50,heap,adjList,7.547855377197266
110,5995,False,1,50,heap,adjMatrix,9.042978286743164
110,5995,False,1,50,array,adjList,9.47117805480957
110,5995,False,1,50,array,adjMatrix,11.439085006713867
120,7140,False,1,50,heap,adjList,7.962703704833984
120,7140,False,1,50,heap,adjMatrix,9.933710098266602
120,7140,False,1,50,array,adjList,11.271953582763672
120,7140,False,1,50,array,adjMatrix,13.453960418701172
130,8385,False,1,50,heap,adjList,10.740041732788086
130,8385,False,1,50,heap,adjMatrix,13.199806213378906
130,8385,False,1,50,array,adjList,14.006853103637695
130,8385,False,1,50,array,adjMatrix,15.627145767211914
140,9730,False,1,50,heap,adjList,13.696908950805664
140,9730,False,1,50,heap,adjMatrix,17.301082611083984
140,9730,False,1,50,array,adjList,17.168045043945312
140,9730,False,1,50,array,adjMatrix,19.746065139770508
150,11175,False,1,50,heap,adjList,13.897895812988281
150,11175,False,1,50,heap,adjMatrix,17.223834991455078
150,11175,False,1,50,array,adjList,17.503023147583008
150,11175,False,1,50,array,adjMatrix,20.945072174072266
160,12720,False,1,50,heap,adjList,15.539884567260742
