dimension,edges,isDirectional,minWeight,maxWeight,queue,graphInput,time
700,236286,False,0,29,heap,adjMatrix,266.78013801574707
700,236286,False,0,29,array,adjList,360.90993881225586
700,236286,False,0,29,array,adjMatrix,427.13379859924316
700,236659,False,0,30,heap,adjList,194.73791122436523
700,236659,False,0,30,heap,adjMatrix,265.57374000549316
700,236659,False,0,30,array,adjList,352.88500785827637
700,236659,False,0,30,array,adjMatrix,421.3979244232178
700,237042,False,0,31,heap,adjList,198.9760398864746
700,237042,False,0,31,heap,adjMatrix,267.7650451660156
700,237042,False,0,31,array,adjList,372.1730709075928
700,237042,False,0,31,array,adjMatrix,435.35399436950684
700,237285,False,0,32,heap,adjList,197.2942352294922
700,237285,False,0,32,heap,adjMatrix,267.43412017822266
700,237285,False,0,32,array,adjList,364.70913887023926
700,237285,False,0,32,array,adjMatrix,433.43186378479004
700,237405,False,0,33,heap,adjList,199.9337673187256
700,237405,False,0,33,heap,adjMatrix,268.8431739807129
700,237405,False,0,33,array,adjList,367.89703369140625
700,237405,False,0,33,array,adjMatrix,437.9439353942871
700,237686,False,0,34,heap,adjList,193.06182861328125
700,237686,False,0,34,heap,adjMatrix,265.6722068786621
700,237686,False,0,34,array,adjList,361.9718551635742
700,237686,False,0,34,array,adjMatrix,432.6472282409668
700,237822,False,0,35,heap,adjList,195.54805755615234
700,237822,False,0,35,heap,adjMatrix,267.4541473388672
700,237822,False,0,35,array,adjList,385.7889175415039
700,237822,False,0,35,array,adjMatrix,468.74380111694336
700,238118,False,0,36,heap,adjList,205.20496368408203
700,238118,False,0,36,heap,adjMatrix,277.5731086730957
700,238118,False,0,36,array,adjList,383.7711811065674
700,238118,False,0,36,array,adjMatrix,450.1769542694092
700,238268,False,0,37,heap,adjList,197.97801971435547
700,238268,False,0,37,heap,adjMatrix,269.6840763092041
700,238268,False,0,37,array,adjList,384.58704948425293
700,238268,False,0,37,array,adjMatrix,458.44197273254395
700,238315,False,0,38,heap,adjList,194.75698471069336
